Trait,Cat
PC1_gc_acc_LDLD_pre,Shape
PC2_gc_acc_LDLD_pre,Shape
PC3_gc_acc_LDLD_pre,Shape
PC1_gc_acc_SDLD_post,Shape
PC2_gc_acc_SDLD_post,Shape
PC3_gc_acc_SDLD_post,Shape
PC1_gc_acc_SDSD_post,Shape
PC2_gc_acc_SDSD_post,Shape
PC3_gc_acc_SDSD_post,Shape
PC1_gc_acc_LDLD_post,Shape
PC2_gc_acc_LDLD_post,Shape
PC3_gc_acc_LDLD_post,Shape
euclid_dist_pre_post_ori_tSDLD,Shift
euclid_dist_pre_post_ori_tSDSD,Shift
euclid_dist_pre_post_ori_tLDLD,Shift
euclid_dist_pre_post_vel_tSDLD,Shift
euclid_dist_pre_post_vel_tSDSD,Shift
euclid_dist_pre_post_vel_tLDLD,Shift
euclid_dist_pre_post_acc_tSDLD,Shift
euclid_dist_pre_post_acc_tSDSD,Shift
euclid_dist_pre_post_acc_tLDLD,Shift
PC1_mean_dist_SDLD_ori_pre,Spread_of_Shape
PC2_mean_dist_SDLD_ori_pre,Spread_of_Shape
PC3_mean_dist_SDLD_ori_pre,Spread_of_Shape
PC1_mean_dist_SDSD_ori_pre,Spread_of_Shape
PC2_mean_dist_SDSD_ori_pre,Spread_of_Shape
PC3_mean_dist_SDSD_ori_pre,Spread_of_Shape
PC1_mean_dist_LDLD_ori_pre,Spread_of_Shape
PC2_mean_dist_LDLD_ori_pre,Spread_of_Shape
PC3_mean_dist_LDLD_ori_pre,Spread_of_Shape
PC1_mean_dist_SDLD_ori_post,Spread_of_Shape
PC2_mean_dist_SDLD_ori_post,Spread_of_Shape
PC3_mean_dist_SDLD_ori_post,Spread_of_Shape
PC1_mean_dist_SDSD_ori_post,Spread_of_Shape
PC2_mean_dist_SDSD_ori_post,Spread_of_Shape
PC3_mean_dist_SDSD_ori_post,Spread_of_Shape
PC1_mean_dist_LDLD_ori_post,Spread_of_Shape
PC2_mean_dist_LDLD_ori_post,Spread_of_Shape
PC3_mean_dist_LDLD_ori_post,Spread_of_Shape
PC1_mean_dist_SDLD_vel_pre,Spread_of_Shape
PC2_mean_dist_SDLD_vel_pre,Spread_of_Shape
PC3_mean_dist_SDLD_vel_pre,Spread_of_Shape
PC1_mean_dist_SDSD_vel_pre,Spread_of_Shape
PC2_mean_dist_SDSD_vel_pre,Spread_of_Shape
PC3_mean_dist_SDSD_vel_pre,Spread_of_Shape
PC1_mean_dist_LDLD_vel_pre,Spread_of_Shape
PC2_mean_dist_LDLD_vel_pre,Spread_of_Shape
PC3_mean_dist_LDLD_vel_pre,Spread_of_Shape
PC1_mean_dist_SDLD_vel_post,Spread_of_Shape
PC2_mean_dist_SDLD_vel_post,Spread_of_Shape
PC3_mean_dist_SDLD_vel_post,Spread_of_Shape
PC1_mean_dist_SDSD_vel_post,Spread_of_Shape
PC2_mean_dist_SDSD_vel_post,Spread_of_Shape
PC3_mean_dist_SDSD_vel_post,Spread_of_Shape
PC1_mean_dist_LDLD_vel_post,Spread_of_Shape
PC2_mean_dist_LDLD_vel_post,Spread_of_Shape
PC3_mean_dist_LDLD_vel_post,Spread_of_Shape
PC1_mean_dist_SDLD_acc_pre,Spread_of_Shape
